title,videoIDS,video_description,publishedDate,likes,dislikes,views,comment
Mother & Daughter Workout (I sucked at it) | Mum Comes to Stay & Cosy Mark Day | ad,0tTd5xaQQs0,"Mother & Daughter Workout (I sucked at it) | Mum Comes to Stay & Cosy Mark Day
This video contains a paid for advertorial - Function of Beauty x Zoella! 20% off & free gift! click here: http://www.functionofbeauty.com/zoellayt
Don't miss out! - for October only,  to get your free limited edition scrunchies and stickers plus 20% off! The exclusive gift is only available while supplies last.

Links below marked with a ""*"" are affiliate links - which means I receive a percentage of the revenue made from purchasing products through this link. This does not affect you as the consumer or the price of the product. It is also not a paid-for promotion or a collaboration/advert with the brands featured. Anything featured below may have been sent by PR's, however, I am never under any obligation to post & only talk about or use products I like & would naturally recommend --

W E A R I N G :
⇢ *Pink Zip Sport Top - Gym Shark - https://bit.ly/33rgppg
⇢ *Pink Sport Leggings - Gym Shark - https://bit.ly/3l4toDg
⇢ *White Frill-Trimmed Jumper - H&M - https://rstyle.me/+L4AXQcE2NaysvLs_EH0rcg
⇢ Checked Jacket - Zara - https://go.zara/2SsndN6
⇢ *Statement Collar Knit - & Other Stories - https://rstyle.me/+95IFjsxa1ImlaZZ-e5QI8w 
⇢  *Three Stretch Flare Jeans - Topshop - https://rstyle.me/+A2IoW74tj27OYUcPuochyA 
⇢  Tracksuit - Future Self [Coming 10/10/20] - https://bit.ly/33wfpQN

P R E O R D E R   T H E   M A G P I E   S O C I E T Y
↠  Signed - WH Smiths - http://bit.ly/2ui4Z8t
↠  Signed - Waterstones - http://bit.ly/2RVN7t6
↠  Signed - Easons - https://bit.ly/2GM8OFH
↠  Not Signed - Amazon - https://amzn.to/2GZB47z

C O O L  S H I Z Z
⇢ Zoella X Etsy Collection https://bit.ly/zZoellaXEtsy
⇢ Template App: https://apple.co/2SiYsCi [co founder]
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-10-04T13:38:02Z,21582,312,481654,0
Go Big or Go Home | Birthday Movie Night & Beauty Haul,nff1cLQWVyg,"Go Big or Go Home | Birthday Movie Night & Beauty Haul
Cult Beauty Discount Code: CBZOESUGG for 15% off £20 / €24*
https://www.cultbeauty.co.uk 
Valid from: 15th September 2020 - Valid until: 17th September 2020
Restrictions: One use per customer, cannot be used in conjunction with any other offers or promotions
Brand exclusions: Anastasia Beverly Hills, Charlotte Tilbury, fresh, GHD, Hourglass, Huda Beauty, Natasha Denona, NYX Professional Makeup, The Ordinary, Theragun, Too Faced, UOMA BEAUTY, Victoria Beckham, Vintner's Daughter. *Shop in euros available for customers in Malta, Slovenia, Slovakia, Cyprus, Ireland, Germany, Spain, Netherlands, Italy, France, Poland and Russia via www.cultbeauty.com

Links below marked with a ""*"" are affiliate links - which means I receive a percentage of the revenue made from purchasing products through this link. This does not affect you as the consumer or the price of the product. It is also not a paid-for promotion or a collaboration/advert with the brands featured. Anything featured below may have been sent by PR's, however, I am never under any obligation to post & only talk about or use products I like & would naturally recommend --

M Y  C U L T  B E A U T Y  H A U L
↠ *BeYou BeYou Patch - https://bit.ly/2O4TaZN
↠ *OLAPLEX No 3 Hair Perfector - https://bit.ly/2JEXs8j
↠ *Drunk Elephant Kamili Cream Body Cleanser - https://bit.ly/2RAfFXT
↠ *Drunk Elephant  Sili Body Lotion - https://bit.ly/3mmorqN
↠ *NARS Lipstick (Start Your Engines) - https://bit.ly/33z6Z9M
↠ *Soleil Toujours Organic Aloe Antioxidant Calming Mist - https://bit.ly/3mmoHpL
↠ *Plenaire Rose Jelly Gentle Makeup Remover - https://bit.ly/3klzGhn
↠ *Allies of Skin Molecular Saviour Probiotics Repair Mist - https://bit.ly/3koWmx5
↠ *Laura Mercier Honey Bath - https://bit.ly/35AxEWF
↠ *Frank Body In Your Dreams Sleep Scrub Soak - https://bit.ly/35DgFms
↠ *Molton Brown Flora Luminare Bath & Shower Gel - https://bit.ly/2ZBZC07
↠ *Versed  The Shortcut Overnight Facial Peel - https://bit.ly/3mj8DFn
↠ *Darling  Glowy Face Cream SPF50+ - https://bit.ly/33CslDA
↠ *NARS Velvet Matte Lip Pencil – Dragon Girl - https://bit.ly/3kjjGwd
↠ *Biossance Squalane & Glycolic Renewal Facial - https://bit.ly/3knzBto

M E N T I O N E D :
↠ *Collection Concealer - https://bit.ly/3klDFug
↠ *bareMinerals Original Loose Mineral Foundation - https://bit.ly/3cT8kvg
↠ *ANASTASIA BEVERLY HILLS - Dipbrow Pomade - https://bit.ly/33ySAuf
↠ *Nars Blush - https://bit.ly/2GU60JJ
↠ *VICTORIA BECKHAM BEAUTY - Smoky Eye Brick - https://bit.ly/33py5A8
↠ *Tarte tarteist™ quick dry matte lip paint - exposed - https://bit.ly/3koQ9S7

P R E O R D E R   T H E   M A G P I E   S O C I E T Y
↠  Signed - WH Smiths - http://bit.ly/2ui4Z8t
↠  Signed - Waterstones - http://bit.ly/2RVN7t6
↠  Signed - Easons - https://bit.ly/2GM8OFH
↠  Not Signed - Amazon - https://amzn.to/2GZB47z

C O O L  S H I Z Z
⇢ Zoella X Etsy Collection https://bit.ly/zZoellaXEtsy
⇢ Template App: https://apple.co/2SiYsCi [co founder]
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-09-15T17:32:13Z,22440,290,656226,0
Wild & Sheepish Friday Night | ad,0HWKiJagU4I,"Wild & Sheepish Friday Night 
This video contains a paid for advertorial
A Good Company : https://agood.com

P R E O R D E R   T H E   M A G P I E   S O C I E T Y
↠  Signed - WH Smiths - http://bit.ly/2ui4Z8t
↠  Signed - Waterstones - http://bit.ly/2RVN7t6
↠  Signed - Easons - https://bit.ly/2GM8OFH
↠  Not Signed - Amazon - https://amzn.to/2GZB47z

C O O L  S H I Z Z
⇢ Zoella X Etsy Collection https://bit.ly/zZoellaXEtsy
⇢ Template App: https://apple.co/2SiYsCi [co founder]
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-09-13T13:44:31Z,18762,165,453066,0
Festive Movie Day With Mark,Hu5Dk1uVJTo,"Festive Movie Day With Mark

P R E O R D E R   T H E   M A G P I E   S O C I E T Y
↠  Signed - WH Smiths - http://bit.ly/2ui4Z8t
↠  Signed - Waterstones - http://bit.ly/2RVN7t6
↠  Signed - Easons - https://bit.ly/2GM8OFH
↠  Not Signed - Amazon - https://amzn.to/2GZB47z

C O O L  S H I Z Z
⇢ Buy the IRL bath bomb - https://bit.ly/IRLBathBomb
⇢ Zoella X Etsy Collection https://bit.ly/zZoellaXEtsy
⇢ Template App: https://apple.co/2SiYsCi [co founder]
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-09-04T18:01:18Z,33341,333,705484,0
A Conversation With My Therapist,MtEUGEoS5is,"A Conversation With My Therapist 

Digital Detox Day raises awareness about the negative impact social media can have on our mental health, and helps people to form healthier relationships with their devices.

Digital Detox Day will take place all over the world on 5th September 2020, when we will be asking people to step away from their phones for one whole day. 

I Am Whole/ Digital Detox Day - https://www.digitaldetoxday.org
IRL Bath Bomb - https://uk.lush.com/products/bath-bom...

If you are anyone you know is struggling in general or with any of the topics raised in this campaign, click here to get help: 
https://www.digitaldetoxday.org/wp-content/uploads/2020/08/DDD_GetHelp.pdf",2020-09-02T15:09:58Z,10899,135,242661,0
Need A Digital Detox? | Digital Detox Day 2020,WqrjwORgpc0,"Need A Digital Detox? | Digital Detox Day 2020

Digital Detox Day raises awareness about the negative impact social media can have on our mental health, and helps people to form healthier relationships with their devices.

Digital Detox Day will take place all over the world on 5th September, when we will be asking people to step away from their phones for one whole day. 

I Am Whole/ Digital Detox Day - https://www.digitaldetoxday.org
IRL Bath Bomb - https://uk.lush.com/products/bath-bombs/irl

If you are anyone you know is struggling in general or with any of the topics raised in this campaign, click here to get help: 
https://www.digitaldetoxday.org/wp-content/uploads/2020/08/DDD_GetHelp.pdf

Any Adsense earned on this video through ads will go into the same pot as the bath bomb where all money raised will be going into a one-off fund taking applications for grants from small, grassroots groups who work on mental health issues. If you are one of those, head to Lush website to see how you can apply!

Bath Bomb is available in: 
UK
Ireland
Germany
France
Spain
Portugal
Italy
Sweden
Czech
Hungary
Netherlands 
Australia
NZ
Belgium 
Luxembourg
Then Korea, Japan, Hong Kong from end of sept",2020-08-30T15:49:44Z,13383,216,279552,0
Couples Car Games | Autumn Vegetable Picking & Sunset Dog Walk,deXU9sGBV1E,"Couples Car Games | Autumn Vegetable Picking & Sunset Dog Walk

Links below marked with a ""*"" are affiliate links - which means I receive a percentage of the revenue made from purchasing products through this link. This does not affect you as the consumer or the price of the product. It is also not a paid for promotion or a collaboration/advert with the brands featured. Anything featured below may have been sent by PR's, however I am never under any obligation to post & only talk about or use products I like & would naturally recommend --

M E N T I O N E D :
↠ Roundstone Pick Your Own Farm

W E A R I N G :
⇢ Over Shirt - Zara - https://www.zara.com/uk/en/check-overshirt-p08099103.html
⇢ Sunglasses - Illesteva
⇢ Jeans - Topshop Mom Jean 
⇢ Black Body Top - ASOS 
⇢ Red & Black hoody - Zara (last year)

P R E O R D E R   T H E   M A G P I E   S O C I E T Y
↠  Signed - WH Smiths - http://bit.ly/2ui4Z8t
↠  Signed - Waterstones - http://bit.ly/2RVN7t6
↠  Signed - Easons - https://bit.ly/2GM8OFH
↠  Not Signed - Amazon - https://amzn.to/2GZB47z

C O O L  S H I Z Z
⇢ Zoella X Etsy Collection https://bit.ly/zZoellaXEtsy
⇢ Template App: https://apple.co/2SiYsCi [co founder]
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-08-28T17:15:08Z,18632,193,436536,0
The Calm Before The Storm | Beach Day vs Rainy Day | ad,w5OoVt2CTig,"The Calm Before The Storm | Beach Day vs Rainy Day
This video contains a paid for advertorial with Native
Click here: https://bit.ly/nativezoe2 and use my code: ZOE2 
Save 33% on your first Native Deodorant Pack (normally $36 but $24 with code) 

Links below marked with a ""*"" are affiliate links - which means I receive a percentage of the revenue made from purchasing products through this link. This does not affect you as the consumer or the price of the product. It is also not a paid for promotion or a collaboration/advert with the brands featured. Anything featured below may have been sent by PR's, however I am never under any obligation to post & only talk about or use products I like & would naturally recommend --

M E N T I O N E D :
↠ Sculpd Pottery Kit - https://sculpd.co.uk
↠  Alexia's Boob pots - https://www.etsy.com/uk/shop/LostFoundKeep?ref=simple-shop-header-name&listing_id=836019972

F E A T U R I N G :
↠ Alfie: http://bit.ly/2uKk2oN

W E A R I N G :
⇢ Realisation Par - Tie Dye dress - https://uk.realisationpar.com/the-capulet-karma/
⇢ T Shirt Dress - Cheap Monday 
⇢ Hat - Zara 

C O O L  S H I Z Z
⇢ Zoella X Etsy Collection https://bit.ly/zZoellaXEtsy
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-08-16T18:01:58Z,23981,223,549984,0
"Sunflower Sunrise, Etsy Collaboration & Tampon Discovery | ad",UKqrOC7Fzb8,"Sunflower Sunrise, Etsy Collaboration & Tampon Discovery

Links below marked with a ""*"" are affiliate links - which means I receive a percentage of the revenue made from purchasing products through this link. This does not affect you as the consumer or the price of the product. It is also not a paid for promotion or a collaboration/advert with the brands featured. Anything featured below may have been sent by PR's, however I am never under any obligation to post & only talk about or use products I like & would naturally recommend --

*Shop the Zoella X Etsy Collection - https://bit.ly/zZoellaXEtsy

Check out all the Etsy Sellers! - 
That Charming Shop
https://bit.ly/ZoellaXEtsyTCS
Vent For Change
https://bit.ly/ZoellaXEtsyVFC
Megan Louise Ceramics
https://bit.ly/ZoellaXEtsyMLC
Alphabet Bags
https://bit.ly/ZoellaXEtsyAB
Oh Laura Shop
https://bit.ly/ZoellaXEtsyOLS
Atelier Stells Ceramic
https://bit.ly/ZoellaXEtsyASC
Elley Home
https://bit.ly/ZoellaXEtsyE
The Lovely Drawer
https://bit.ly/ZoellaXEtsyTLD
Elizabeth Rachael Shop
https://bit.ly/ZoellaXEtsyERS

M E N T I O N E D :
↠ Brighton Pier Cinema - https://bit.ly/3agtYti
↠ Daye  Period Products - https://bit.ly/3kE0IBM

F E A T U R I N G :
↠ Alfie: http://bit.ly/2uKk2oN

M A K E U P :
⇢ *Collection Lasting Perfection Concealer - https://rstyle.me/+MpqRvaq7I0KZgW9th-LTXw
⇢ *bareMinerals Original Loose Mineral Foundation SPF15 8g - http://bit.ly/36mhZ9T
⇢ *bareMinerals Faux Tan bronzer (loose) https://bit.ly/2WyouoF
⇢ *Anastasia Beverly Hills, Dipbrow Pomade https://apprl.com/al/5NcA/
⇢ *HOURGLASS - Unlocked Instant Extensions Mascara -  https://bit.ly/2Cm3wlE
⇢ *MARC JACOBS BEAUTY - At Lash’d Lengthening and Curling Mascara - https://bit.ly/2DVylOg
⇢ *Ciaté London Smiley Smile on Lipstick - https://rstyle.me/+RMbD3beQZV0Rvu6wXxNplQ

W E A R I N G : 
⇢ *Matching Top and Shorts - https://rstyle.me/+YYmrDrm2B1kpSWdULhR7Xw

C O O L  S H I Z Z
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-08-11T12:30:06Z,21227,265,564536,0
We Are Terrible Liars | Weekend In London,QsHFsth_A20,"We Are Terrible Liars | Weekend In London

Links below marked with a ""*"" are affiliate links - which means I receive a percentage of the revenue made from purchasing products through this link. This does not affect you as the consumer or the price of the product. It is also not a paid for promotion or a collaboration/advert with the brands featured. Anything featured below may have been sent by PR's, however I am never under any obligation to post & only talk about or use products I like & would naturally recommend --

P R E O R D E R   T H E   M A G P I E   S O C I E T Y
↠  Signed - WH Smiths - http://bit.ly/2ui4Z8t
↠  Signed - Waterstones - http://bit.ly/2RVN7t6
↠  Signed - Easons - https://bit.ly/2GM8OFH
↠  Not Signed - Amazon - https://amzn.to/2GZB47z

M E N T I O N E D :
↠ Flavour Town Bakery - http://bit.ly/2Q74Vzo
↠ *Would I Lie To You Board Game - Amazon - https://rstyle.me/+-6scolF1rh28Qeh8yJpFUw

F E A T U R I N G :
↠ Alfie: http://bit.ly/2uKk2oN
↠ Dianne: http://bit.ly/2YKEir5
↠ Joe: http://bit.ly/2GxjKsz

W E A R I N G :
⇢ Pink Floral Swedish Midi Dress - Never Fully Dressed - https://bit.ly/3hNF6k5
⇢ *Orange Vest top - Similar - Free People - https://rstyle.me/+t_Toh2Wd5b_n6pMmpqz_tQ
⇢ *Free People White Gold Star Jeans - https://bit.ly/2YRPIaK
⇢ Travis Glasses - Ace & Tate - http://bit.ly/2vlrJF5
⇢ Masks - local vintage store 
⇢ *Estée Lalonde Goddess Medallion T Bar Necklace 18ct Gold Plate - http://bit.ly/34U5UZe

C O O L  S H I Z Z
⇢ Template App: https://apple.co/2SiYsCi [co founder]
⇢ Filmm App: https://apple.co/2Z3FULG [co founder]
⇢ Cordially Invited: http://bit.ly/2HRDiFm",2020-08-07T14:13:04Z,24657,320,706966,0
